pcd7,pcd8,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,oa21cd,oac11cd,oac11nm,wz11cd,wzc11cd,wzc11nm,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,soac11cd,soac11nm,ladcd,ladnm,ladnmw,laccd,lacnm
AB1 0AA,AB1  0AA,AB1 0AA,198001,199606,0,385386,801193,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0AB,AB1  0AB,AB1 0AB,198001,199606,0,385177,801314,S00090303,1C3,Detached rural retirement,S34002990,D1,Non-metropolitan suburban areas,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0AD,AB1  0AD,AB1 0AD,198001,199606,0,385053,801092,S00090399,6A1,Indian tech achievers,S34003015,C1,Teachers and carers in metro suburbs,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0AE,AB1  0AE,AB1 0AE,199402,199606,0,384600,799300,S00091322,1A2,Established farming communities,S34003292,F3,Rural with mining or quarrying,S01006853,,S02001296,,2B,Prospering countryside life,S12000034,Aberdeenshire,,7A1,Country Living
AB1 0AF,AB1  0AF,AB1 0AF,199012,199207,1,384460,800660,S00090299,6A4,Ageing in suburbia,S34003015,C1,Teachers and carers in metro suburbs,S01006511,,S02001236,,8B,Ageing suburbanites,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0AG,AB1  0AG,AB1 0AG,199012,199207,1,383890,800710,S00090291,7C3,Outer city hardship,S34003124,D1,Non-metropolitan suburban areas,S01006506,,S02001236,,3C,Highly qualified professionals,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0AJ,AB1  0AJ,AB1 0AJ,198001,199606,0,384779,800921,S00090399,6A1,Indian tech achievers,S34003015,C1,Teachers and carers in metro suburbs,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0AL,AB1  0AL,AB1 0AL,198001,199606,0,384669,801228,S00090381,6B3,Semi-detached ageing,S34002990,D1,Non-metropolitan suburban areas,S01006511,,S02001236,,8B,Ageing suburbanites,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0AN,AB1  0AN,AB1 0AN,198001,199606,1,385225,800757,S00090399,6A1,Indian tech achievers,S34003015,C1,Teachers and carers in metro suburbs,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
AB1 0AP,AB1  0AP,AB1 0AP,198001,199606,0,385208,800834,S00090399,6A1,Indian tech achievers,S34003015,C1,Teachers and carers in metro suburbs,S01006514,,S02001237,,8A,Affluent communities,S12000033,Aberdeen City,,2A1,Larger Towns and Cities
