pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa21,cty,ced,laua,ward,nhser,ctry,rgn,pcon,ttwa,itl,npark,lsoa21,msoa21,wz11,sicbl,bua22,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,icb
AB1 0AA,AB1  0AA,AB1 0AA,198001,199606,0,385386,801193,1,S00090303,S99999999,S99999999,S12000033,S13002843,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006514,S02001237,S34002990,S03000012,S99999999,3,1C3,57.101474,-2.242851,S99999999,,S23000009,6715,S99999999
AB1 0AB,AB1  0AB,AB1 0AB,198001,199606,0,385177,801314,1,S00090303,S99999999,S99999999,S12000033,S13002843,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006514,S02001237,S34002990,S03000012,S99999999,3,1C3,57.102554,-2.246308,S99999999,,S23000009,6715,S99999999
AB1 0AD,AB1  0AD,AB1 0AD,198001,199606,0,385053,801092,1,S00090399,S99999999,S99999999,S12000033,S13002843,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006514,S02001237,S34003015,S03000012,S99999999,3,6A1,57.100556,-2.248342,S99999999,,S23000009,6715,S99999999
AB1 0AE,AB1  0AE,AB1 0AE,199402,199606,0,384600,799300,8,S00091322,S99999999,S99999999,S12000034,S13002864,S99999999,S92000003,S99999999,S14000058,S22000047,S30000027,S99999999,S01006853,S02001296,S34003292,S03000013,S99999999,6,1A2,57.084444,-2.255708,S99999999,,S23000009,5069,S99999999
AB1 0AF,AB1  0AF,AB1 0AF,199012,199207,1,384460,800660,8,S00090299,S99999999,S99999999,S12000033,S13002843,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006511,S02001236,S34003015,S03000012,S99999999,3,6A4,57.096656,-2.258102,S99999999,,S23000009,6253,S99999999
AB1 0AG,AB1  0AG,AB1 0AG,199012,199207,1,383890,800710,8,S00090291,S99999999,S99999999,S12000033,S13002843,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006506,S02001236,S34003124,S03000012,S99999999,3,7C3,57.097085,-2.267513,S99999999,,S23000009,4691,S99999999
AB1 0AJ,AB1  0AJ,AB1 0AJ,198001,199606,0,384779,800921,1,S00090399,S99999999,S99999999,S12000033,S13002843,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006514,S02001237,S34003015,S03000012,S99999999,3,6A1,57.099011,-2.252854,S99999999,,S23000009,6715,S99999999
AB1 0AL,AB1  0AL,AB1 0AL,198001,199606,0,384669,801228,1,S00090381,S99999999,S99999999,S12000033,S13002843,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006511,S02001236,S34002990,S03000012,S99999999,3,6B3,57.101765,-2.254688,S99999999,,S23000009,6253,S99999999
AB1 0AN,AB1  0AN,AB1 0AN,198001,199606,1,385225,800757,1,S00090399,S99999999,S99999999,S12000033,S13002843,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006514,S02001237,S34003015,S03000012,S99999999,3,6A1,57.097553,-2.245483,S99999999,,S23000009,6715,S99999999
AB1 0AP,AB1  0AP,AB1 0AP,198001,199606,0,385208,800834,1,S00090399,S99999999,S99999999,S12000033,S13002843,S99999999,S92000003,S99999999,S14000002,S22000047,S30000026,S99999999,S01006514,S02001237,S34003015,S03000012,S99999999,3,6A1,57.098244,-2.245768,S99999999,,S23000009,6715,S99999999
