LocationId,OrganisationID,LocationPostCode_clean,AreaName,district
84f12c53-46d7-40df-ae61-28401febc8a1,13df52eb-c61d-48c9-968f-b99845c11fe5,AB561EP,Accessible small Town,Moray
6c84a46c-df1b-4a32-9e4e-fbeb97ad35ec,872d01b8-fee2-4cb1-a37a-d77d81851332,B145LD,Urban major conurbation,Birmingham
bdfe8d84-9594-4d2f-9d5a-3d3f0723168e,051f4538-5908-4683-9f77-73067ffb3b6d,B461DJ,Rural town and fringe,North Warwickshire
e572aa87-bccf-453a-b5f1-24d86f42c558,07b2aafe-cb44-44a5-add9-29eb579f8a73,B927HP,Urban major conurbation,Solihull
5b136814-6db1-4257-91a1-14e26a1005b4,7d3809e4-6db5-4ec3-b692-897db297333a,B955PS,Rural hamlets and isolated dwellings,Stratford-on-Avon
bd31c03e-74c1-4a01-a75f-4d08b4ae2f7e,c4126242-37be-4175-8733-3c9c2f9432bb,BA114HR,Urban city and town,Mendip
b53a5ba9-ec9c-4104-a9ce-d786e135c459,690e5bc0-d480-4072-9f33-762261f28b5a,BB45TU,Urban city and town,Rossendale
ec706aa0-5ae9-4dec-ae25-b5222991d32a,dd81d0d4-6189-4524-b0f3-44b1dda39e27,BD184HD,Urban major conurbation,Bradford
46db98b5-3c33-4c07-b20b-95d2f44ef6cf,ca4daf40-c6eb-4ec3-be6e-0f108942dc64,BH235JS,Urban city and town,"Bournemouth, Christchurch and Poole"
3704ada3-33bd-41d9-ae4b-7dd05c89a5b0,ebf844ad-acad-4083-8edc-33d48aece3fb,BN114JN,Urban city and town,Worthing
3881bacb-350e-4774-b4e2-e2aedb9fddf3,57afcbb5-ab1c-4158-a8d7-59489efa051e,BN133EA,Urban city and town,Worthing
34f97d2b-91c7-4654-9ad9-e4271cfb8116,4ff124e3-ae83-49f8-b681-2167377b9bb7,BN36HN,Urban city and town,Brighton and Hove
73da5e0a-247f-4939-962c-3f90353a7377,ae6143b2-9e68-4b6e-abfe-e4701c064dfa,BN424TP,Urban city and town,Adur
09e32f71-0fa6-47e5-a7f2-0bba77ff7f0d,05a3bc0b-f120-430c-8038-62f398191f4d,BR11LT,Urban major conurbation,Bromley
a29f6155-28d4-4acf-93b2-2fbcee9f5387,d77edc54-3b9f-47de-8d5a-7f28224a1b53,BR13AS,Urban major conurbation,Bromley
ffb6f0c8-18c8-4a02-aff9-9270a406ce30,f56db364-2814-43b2-b049-62edcbd20912,BR87FP,Urban major conurbation,Sevenoaks
43e21746-a045-4958-8a76-d3bfeedccdee,4b5963d1-9db3-485c-8eac-abea78548ddf,BS232PX,Urban city and town,North Somerset
9ba6c82a-7606-4e94-a5ad-fce2c844ff80,6e8fc945-c328-4a2f-a737-445d21fe5ae6,CB42HA,Urban city and town,Cambridge
6f013e0e-f657-4e0a-bde6-a5b4e4918f65,3d399980-1b8c-4140-b117-7f1eaf25c1ef,CB61LX,Rural town and fringe,East Cambridgeshire
