LocationId,OrganisationID,LocationPostCode_clean
3367a30e-d40b-48c6-98c7-aba5daffd0a4,25a57c3e-8065-4e16-a6a9-aa8b5909f92c,SS12LS
bdb4e763-c49e-417c-afd2-0c7c6312767b,369bf739-7226-484b-8cc9-9276675284fb,TR274HW
b344071f-2493-4612-be40-23d22f95b54b,4ec3aba3-dae9-4213-b430-483e0b7ae8c7,SO510HB
149ab08d-5438-4ba1-affc-7bd1782f37e8,6e73d8fc-b261-4f2a-aa28-6e92d91423f3,HA03TQ
2416ac5d-737a-45d1-9f04-127dea47c4e8,2feff59d-ca15-49a0-9100-165cded25a37,UB95DE
b41fbee4-f2b7-4c07-98f3-1b8562368ca1,c642d9c5-030a-4a71-bb08-874958682073,HR28DL
c7d204a5-4fda-486c-9165-c73d64196f32,77eabd63-e674-4b50-bbf2-b2e160717461,HU120BP
fb0faa93-7217-4396-9644-1977a0e6f7e2,2e60761c-14a1-45b0-8b77-123c8f671947,TR71DZ
f993a055-d9e6-464b-88f6-6991ad91e2c5,db2ac4a7-0b47-4fed-8b6d-11d1fc30d353,SE152NL
9aef1913-2bfc-4dc7-9805-0166405b2cb9,b65c9f9a-14fc-47e4-addd-8e0e3b12387b,RH14BG
8846a04e-c17d-4c49-9c0a-16ec3584fb95,26551569-3779-487b-a8c4-e70b4367293d,B178NL
0eefc2c8-3d3b-4b7a-ab59-e97b2422c000,43ae1eca-1304-4f6d-bc01-e7583212644c,MK452TE
b16963a9-45ac-430f-a358-3c318703dbf6,781772c6-8b67-4309-af9b-8f2215476558,NK
c371f395-ef14-40e5-8fc4-649769573c9e,016dc526-2361-4de0-b4e9-b27b99258c1d,TQ45AW
958cff74-9249-4afa-aac8-46b56d70ca3b,6c69d134-b943-4786-b8f0-b197437aa946,KY12YG
6888f1f6-f9da-4fa4-b508-c3144fe252ca,ca7900ac-09e6-452d-a21c-ad99361e1912,TF43QF
21dffe9b-8f16-4cfb-a07d-391f70203e3a,93b513d8-5135-4d59-8ff0-547845d06e53,TQ138LZ
74a3d362-adda-43d7-802f-204518609d9e,b09310d4-3ef3-40cb-809b-a43a7da13a75,S103GA
4552e9e5-c077-4955-976e-c2a3d8a5b259,f56db364-2814-43b2-b049-62edcbd20912,CR85DY
e9d93e0f-41aa-440a-bb24-56cb283f3c66,3fa5ea74-2657-49f5-8b3b-66157fffcde4,DN213BB
7d7cff0a-b92f-4819-bd00-b19099cdd367,c92c166d-e4b1-4a38-8db1-9709bbd7a050,EN51ED
ea7a4d0b-566d-47ac-bed1-76020cf1cfe5,b65c9f9a-14fc-47e4-addd-8e0e3b12387b,RH15EE
ecec65d8-8e8d-4921-b39c-8a58f4a8dbe3,6c6973a8-2673-4dcf-8c63-df25fc45cebb,EX141AL
c93b7ce5-062b-45e8-bfe5-9843bff9c036,f18ae0a8-46bc-491c-a992-2df506e508fe,LS176AW
3b2378c7-b620-4fc9-8ae5-03a19c138361,9ff5b59c-461e-4c41-98af-af9f9f8a6087,NG190EJ
997bc762-4d26-4eff-85ba-50c961755461,181d26cd-e8f4-4750-a7bb-04eef2773c4a,WS140QP
e8184195-047b-4cbd-a26b-47b49f8a8644,181d26cd-e8f4-4750-a7bb-04eef2773c4a,NK
